NID,CONTRIBUTOR,TOTAL
1515,"NNP GZC Car '1PURPLE', Person 'D'",4
874,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1754,"NNP GZC Car '12WHITE', Person 'A'",1
1657,"NNP GZC Car '15WHITE', Person 'C'",1
957,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1123,"NNP GZC Car '2WHITE', Person 'A'",1
206,"NNP GZC Car '5WHITE', Person 'A'",1
316,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",7
652,"NNP GZC Car '1RED', Person 'B'",2
501,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",2
560,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1
1555,"NNP GZC Car '1PURPLE', Person 'A'",7
1677,"NNP GZC Car '1BLUE', Person 'C'",1
483,"NNP GZC Car '1WHITE', Person 'A'",1
868,"NNP GZC Car '1BLUE', Person 'C'",1
2120,"NNP GZC Car '3RED', Person 'A'",1
1072,"NNP GZC Car '25PURPLE', Person 'A'",1
1008,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
156,"NNP GZC Car '1PURPLE', Person 'D'",6
2103,"NNP GZC Car '3RED', Person 'B'",1
1463,"NNP GZC Car '5WHITE', Person 'A'",1
1652,"NNP GZC Car '15WHITE', Person 'D'",1
1911,"NNP GZC Car '14WHITE', Person 'A'",2
854,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
527,"NNP GZC Car '6WHITE', Person 'B'",1
1107,"NNP GZC Car '2WHITE', Person 'A'",2
836,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
999,"NNP GZC Car '6WHITE', Person 'B'",1
833,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",4
1560,"NNP GZC Car '1PURPLE', Person 'D'",7
1178,"NNP GZC Car '3WHITE', Person 'A'",2
585,"NNP GZC Car '1PURPLE', Person 'A'",1
518,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1
1636,"NNP GZC Car '1PURPLE', Person 'A'",1
1742,"NNP GZC Car '3PURPLE', Person 'B'",1
637,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1712,"NNP GZC Car '1BLUE', Person 'C'",1
1453,"NNP GZC Car '4WHITE', Person 'A'",1
1999,"NNP GZC Car '1RED', Person 'A'",1
1932,"NNP GZC Car '1RED', Person 'A'",5
776,"NNP GZC Car '1PURPLE', Person 'B'",2
1461,"NNP GZC Car '5WHITE', Person 'A'",1
1848,"NNP GZC Car '13WHITE', Person 'B'",1
585,"NNP GZC Car '8WHITE', Person 'A'",4
953,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",2
1999,"NNP GZC Car '3RED', Person 'A'",2
579,"NNP GZC Car '4RED', Person 'A'",1
744,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
1295,"NNP GZC Car '6WHITE', Person 'B'",1
1937,"NNP GZC Car '1RED', Person 'B'",2
465,"NNP GZC Car '1WHITE', Person 'A'",3
