AID,GID,NID,CONTRIBUTOR
9672,1261,100,"NNP GZC Car '1BLUE', Person 'A'"
8816,7785,98,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
10024,4814,273,"NNP GZC Car '2RED', Person 'D'"
9146,8364,73,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9756,7727,27,"NNP GZC Car '8WHITE', Person 'A'"
9679,1277,132,"NNP GZC Car '1BLUE', Person 'A'"
10055,6774,56,"NNP GZC Car '6RED', Person 'B'"
8850,3082,22,"NNP GZC Car '1WHITE', Person 'A'"
9790,7715,184,"NNP GZC Car '8WHITE', Person 'A'"
8815,9351,56,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9706,7729,196,"NNP GZC Car '8WHITE', Person 'A'"
10011,4442,273,"NNP GZC Car '2RED', Person 'C'"
9154,9355,110,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9958,2813,90,"NNP GZC Car '1RED', Person 'B'"
9501,922,166,"NNP GZC Car '15WHITE', Person 'A'"
10027,3650,273,"NNP GZC Car '2RED', Person 'A'"
9001,9220,18,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
10021,4074,273,"NNP GZC Car '2RED', Person 'B'"
9076,9395,96,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9402,941,234,"NNP GZC Car '15WHITE', Person 'B'"
8912,9403,39,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9839,5581,74,"NNP GZC Car '3WHITE', Person 'A'"
9201,155,112,"NNP GZC Car '11WHITE', Person 'A'"
9114,9352,56,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9655,6932,172,"NNP GZC Car '6WHITE', Person 'B'"
9242,1499,158,"NNP GZC Car '1PURPLE', Person 'A'"
9206,2108,156,"NNP GZC Car '1PURPLE', Person 'D'"
9149,8350,27,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
8910,3167,68,"NNP GZC Car '1WHITE', Person 'A'"
9120,8352,158,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
